Year,CPIH Annual rate as %,Interest rate in %,Target %
1989,5.7,14.9,2
1990,8,13.9,2
1991,7.5,10.4,2
1992,4.6,6.9,2
1993,2.6,5.4,2
1994,2.2,6.1,2
1995,2.7,6.4,2
1996,2.9,5.9,2
1997,2.2,7.3,2
1998,1.8,6.3,2
1999,1.7,5.5,2
2000,1.2,6,2
2001,1.6,5.8,2
2002,1.5,4,2
2003,1.4,3.75,2
2004,1.4,4.75,2
2005,2.1,4,2
2006,2.5,5,2
2007,2.4,5.5,2
2008,3.5,2,2
2009,2,0.5,2
2010,2.5,0.5,2
2011,3.8,0.5,2
2012,2.6,0.5,2
2013,2.3,0.5,2
2014,1.5,0.5,2
2015,0.4,0.5,2
2016,1,2.5,2
2017,2.6,0.5,2
2018,2.3,7.5,2
2019,1.7,2.5,2
2020,1,0.1,2
2021,2.5,2.5,2
2022,7.9,3.5,2